D1;D2;D3;D4;D5;D6;D7;D8;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28
1;4;1;7;1;2;3;3;3;3;2;3;2;2;2;3;3;4;4;3;4;4;2;4;2;3;3;2;1;2;2;3;3;4;3;3
1;4;1;7;1;3;1;3;2;3;3;2;2;2;3;4;4;5;4;4;5;5;2;5;1;3;4;2;2;1;1;3;3;3;3;2
1;4;1;7;1;2;3;2;3;2;3;3;2;2;2;3;2;5;5;5;2;4;5;4;3;4;5;5;3;3;4;4;4;5;3;3
2;2;1;6;2;1;3;2;3;3;3;2;2;2;2;4;4;5;3;3;2;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4
1;3;2;7;1;3;4;3;3;3;2;2;2;2;2;4;4;5;4;5;5;5;4;3;3;4;4;4;4;4;4;4;4;4;4;4
1;3;1;6;2;2;3;3;3;3;3;3;3;3;3;3;5;5;5;4;4;3;2;4;1;4;5;3;3;3;3;3;3;3;3;3
1;2;1;7;2;3;3;3;2;3;2;3;2;3;2;5;4;3;4;5;3;5;5;4;4;4;4;4;3;4;3;4;4;4;4;4
1;3;1;7;1;3;1;3;3;3;3;3;3;3;3;5;4;5;5;4;3;2;3;5;3;5;5;5;5;5;5;5;5;5;5;5
1;5;1;3;1;1;1;4;3;3;3;3;3;2;3;5;5;3;3;4;5;4;2;4;5;5;5;4;4;4;4;3;3;4;3;4
1;2;1;5;2;1;3;2;3;2;3;2;2;2;2;5;4;3;4;3;5;3;3;5;5;5;5;4;3;4;4;4;4;4;4;4
1;2;1;7;2;2;3;3;3;2;2;3;2;2;2;4;4;3;3;3;4;5;4;1;4;4;4;4;4;4;4;4;4;4;4;4
2;1;1;7;1;1;1;3;2;3;3;3;2;2;3;5;4;3;3;7;4;5;3;7;4;5;5;4;5;4;4;5;4;5;5;4
1;3;1;7;1;2;3;1;2;1;3;3;2;3;2;4;3;5;3;4;5;5;4;5;3;4;3;4;4;3;3;4;3;4;3;3
1;5;2;7;1;3;4;4;2;3;3;3;3;3;3;4;4;3;3;5;4;5;4;4;5;4;4;3;3;3;4;3;3;4;3;3
1;4;2;7;1;1;3;4;3;3;3;3;3;3;3;5;5;3;3;5;3;3;4;4;4;5;5;5;5;5;5;5;5;5;5;5
1;6;1;7;2;4;3;1;2;2;3;2;2;2;2;4;4;3;4;5;3;5;5;4;3;4;4;3;3;3;4;3;3;3;3;3
1;4;1;7;1;4;3;2;2;3;3;2;3;3;3;4;4;5;5;4;4;3;4;3;4;4;5;3;4;5;4;3;4;4;4;4
1;2;1;7;2;5;3;3;2;2;3;3;3;3;3;4;4;3;4;3;4;5;5;3;5;4;4;4;3;3;4;4;4;5;4;4
1;5;1;7;2;1;4;4;3;3;3;3;3;3;3;4;4;3;3;4;4;4;3;4;4;4;4;4;4;4;4;3;3;3;3;3
1;2;1;6;2;1;3;2;2;3;2;2;2;3;3;4;3;3;5;3;5;4;5;4;4;4;5;4;3;3;2;3;3;3;3;3
1;3;1;7;2;4;3;3;3;3;3;3;3;3;2;4;4;4;4;4;3;5;4;4;4;5;5;3;3;5;4;5;5;5;5;5
1;3;1;10;1;3;3;3;3;3;3;3;3;3;3;4;4;5;4;3;4;4;4;4;5;4;4;4;3;4;4;3;3;5;3;3
1;2;1;6;2;1;3;2;2;2;2;3;2;3;3;4;3;5;5;4;4;5;5;2;4;4;5;4;3;4;2;4;4;4;4;4
2;5;1;6;2;2;4;2;2;2;3;2;2;3;2;4;3;4;2;4;5;4;4;5;3;4;3;3;2;4;4;3;3;2;2;2
1;3;1;6;1;3;3;3;2;3;3;2;2;3;3;4;3;4;5;3;3;2;5;3;3;4;5;3;2;4;3;3;3;3;3;3
1;3;1;7;2;6;3;3;1;1;3;2;2;2;3;3;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;5;3;4;4;5
1;2;1;7;2;2;1;2;3;3;2;3;2;3;3;4;4;3;4;4;4;5;5;4;4;5;5;5;2;4;3;3;3;4;3;3
1;4;1;7;1;3;3;3;2;2;3;1;2;2;2;4;3;3;5;4;3;5;5;5;2;4;4;2;2;3;2;3;3;3;3;3
1;2;1;7;2;2;3;3;2;2;3;3;2;2;3;4;3;5;4;4;4;4;4;5;3;4;4;3;3;3;2;4;3;4;3;3
1;3;1;7;1;1;3;3;2;2;3;2;2;2;3;4;3;4;3;2;5;4;4;3;3;4;5;4;2;3;3;4;4;5;2;4
1;4;1;7;1;4;4;1;2;2;2;2;2;3;2;4;4;4;3;3;4;5;5;5;1;3;4;3;3;3;3;3;3;3;3;3
1;2;1;2;2;3;3;4;2;3;2;3;3;3;3;5;5;4;4;3;5;5;4;4;2;4;4;4;4;4;3;4;4;3;2;1
1;2;1;14;2;1;1;2;2;3;2;3;3;3;3;4;5;5;3;4;5;3;3;4;4;5;5;5;4;4;5;4;5;4;4;4
1;6;1;7;1;4;1;1;3;3;2;2;2;3;3;4;4;3;5;2;2;4;4;5;4;4;4;2;3;2;4;4;4;4;4;3
2;4;1;10;1;6;3;4;3;2;3;2;2;2;2;4;4;4;5;4;4;2;4;4;3;4;4;4;4;4;4;3;3;3;3;3
1;3;1;13;1;1;3;3;2;3;3;3;3;2;3;4;4;4;5;4;3;4;3;4;4;4;4;4;3;3;4;3;3;3;3;3
1;4;1;7;1;3;3;4;2;2;2;2;2;2;2;3;4;5;5;4;5;5;4;3;4;4;4;3;3;4;3;4;4;4;4;3
1;4;2;7;2;2;3;3;2;2;2;3;3;2;2;4;2;3;5;5;3;4;5;5;4;4;4;4;3;3;3;4;4;4;3;4
1;3;1;7;1;5;1;3;3;3;3;3;3;3;3;4;4;4;5;4;4;5;5;5;3;5;5;5;5;5;5;3;3;5;5;3
1;5;1;8;2;1;3;3;1;1;3;2;2;2;2;3;4;4;5;2;4;5;5;3;2;4;5;4;4;4;4;4;4;4;4;4
1;3;1;11;1;1;3;3;2;2;2;2;2;2;2;4;4;4;4;5;4;4;4;5;3;4;4;3;3;4;3;3;2;1;2;1
1;5;1;3;1;1;1;3;2;3;2;2;2;2;3;4;4;5;4;5;4;5;3;5;4;5;4;5;5;4;3;3;4;4;4;3
1;1;1;7;2;1;3;3;3;2;3;3;2;2;3;4;4;5;4;5;3;2;5;5;5;4;5;3;2;4;3;4;3;4;4;3
1;5;1;7;1;1;3;3;3;3;3;3;3;2;2;2;3;5;5;4;3;3;4;5;3;2;4;4;3;3;3;3;3;2;3;3
1;1;1;7;2;1;1;4;2;3;3;3;3;3;2;3;4;2;5;4;5;3;2;3;5;5;5;5;4;5;4;4;4;4;4;4
1;4;1;7;1;3;3;2;3;2;2;2;2;2;2;3;2;4;5;4;5;4;4;5;3;4;4;4;2;3;3;4;3;3;3;3
1;3;1;7;1;2;3;3;1;2;3;2;3;2;2;4;4;5;5;5;4;2;3;4;2;4;4;3;2;2;3;3;3;3;3;3
1;1;1;14;2;1;3;3;3;3;3;3;3;3;3;5;5;3;4;4;3;5;4;4;4;5;5;5;5;4;4;4;5;3;4;3
2;2;1;7;1;1;1;1;3;3;2;2;2;2;2;4;4;3;4;4;4;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5
1;4;1;11;1;3;1;3;2;2;2;2;2;2;2;4;4;3;3;5;4;4;3;4;2;4;4;4;4;4;4;2;2;4;2;1
1;2;1;7;1;3;3;3;2;2;2;2;2;2;3;3;2;4;4;4;4;3;4;4;2;3;4;3;2;2;1;3;3;5;3;3
1;2;1;7;2;3;3;2;3;3;2;3;3;3;3;5;4;5;3;4;4;5;4;4;4;5;5;5;4;5;5;5;5;5;5;5
1;2;1;7;2;5;1;3;3;2;3;2;2;3;3;5;4;4;3;5;4;4;2;5;5;5;5;5;4;4;4;5;4;4;4;4
1;2;1;7;1;1;3;3;3;3;3;3;3;3;3;5;5;5;2;3;3;3;4;5;4;5;5;4;3;5;5;4;4;5;2;4
1;3;1;10;1;1;3;2;1;1;1;2;1;1;1;4;3;5;5;3;3;2;4;5;3;4;4;4;3;3;4;4;5;4;4;4
1;4;1;7;2;3;1;2;1;1;1;1;1;1;1;5;4;4;4;5;3;4;5;4;3;5;5;5;4;4;5;4;4;3;3;3
1;3;1;6;2;3;3;2;3;3;2;2;2;2;3;4;4;3;5;3;5;3;5;4;4;4;4;4;4;4;3;3;3;3;3;3
1;4;1;5;2;1;4;3;3;2;2;2;2;3;3;4;3;4;5;2;3;5;3;4;4;5;5;5;5;4;3;4;4;5;5;5
1;3;1;10;2;1;3;2;3;3;2;3;3;3;3;5;5;5;5;3;3;5;2;3;4;5;5;5;5;5;5;4;4;5;4;4
2;5;1;7;2;3;3;2;3;2;2;2;2;2;2;4;4;3;5;5;3;5;3;4;3;4;4;3;3;3;3;4;4;4;4;4
1;4;1;5;1;3;1;1;2;2;2;2;3;3;3;4;4;4;4;4;4;5;2;3;3;4;4;4;3;4;2;4;4;4;4;4
1;3;1;7;1;1;3;3;2;3;2;2;2;3;3;4;4;4;4;5;4;5;4;3;4;4;5;4;3;4;4;3;3;3;3;3
1;5;1;7;1;2;3;4;3;2;2;2;2;3;3;4;5;5;3;4;5;4;5;3;4;4;4;4;4;4;4;3;3;3;3;3
1;6;1;7;1;2;1;2;2;3;2;3;3;3;3;5;4;5;5;400;5;3;5;4;5;5;5;5;4;5;4;5;4;5;4;5
1;2;1;6;1;1;3;4;2;2;3;2;2;3;3;3;4;5;4;3;4;5;4;4;4;5;5;4;4;4;4;4;4;4;4;4
1;3;1;7;1;2;3;1;3;3;3;3;3;3;3;5;5;4;4;5;5;3;3;5;5;5;5;5;4;5;5;4;5;5;5;5
1;3;2;9;2;1;3;3;3;2;2;2;2;3;3;4;4;4;4;4;3;4;3;4;4;4;5;4;4;4;3;4;4;4;4;4
1;1;1;12;2;1;1;2;3;3;3;2;3;3;3;5;4;3;4;4;3;5;4;4;5;5;5;4;3;4;5;5;5;5;5;4
1;6;1;8;1;2;3;2;2;3;3;2;2;2;3;4;3;3;4;7;4;5;4;4;3;3;4;3;3;3;3;3;3;3;2;2
1;4;1;7;1;1;3;1;2;3;3;2;2;2;2;5;4;3;4;4;5;5;3;4;4;4;4;4;3;4;4;3;2;2;2;1
1;3;1;2;2;4;3;2;2;3;2;3;2;3;3;5;5;3;4;3;5;4;5;5;5;5;4;4;4;4;4;4;4;5;5;5
2;4;1;13;1;5;3;4;2;2;2;2;2;2;2;4;2;5;5;4;3;4;4;5;2;2;2;2;4;2;4;2;2;4;2;1
1;2;1;7;2;1;3;3;2;3;2;2;2;2;2;3;3;3;4;4;3;5;4;3;4;3;4;4;3;4;4;3;3;3;2;2
1;3;1;7;1;6;3;4;2;3;3;3;3;3;3;4;5;2;3;5;4;2;4;3;5;4;5;3;4;3;4;3;3;3;3;3
1;1;1;7;2;1;4;2;3;3;2;3;3;3;3;4;3;5;4;4;4;4;3;4;4;4;5;5;4;4;4;4;3;4;3;3
1;1;1;5;2;3;3;3;2;3;3;3;3;2;3;4;4;5;3;4;4;4;4;5;5;5;5;4;3;4;5;4;3;4;3;3
1;4;1;6;1;1;3;2;3;3;2;3;2;2;2;4;3;4;4;4;4;4;4;5;4;5;5;4;3;5;2;3;3;4;4;2
1;5;1;7;2;1;4;1;2;2;2;2;3;2;2;4;4;3;5;4;3;7;3;4;4;4;5;4;4;4;4;4;4;4;4;4
1;1;1;14;2;2;3;2;2;3;3;3;3;3;3;4;2;5;4;4;4;4;3;3;3;4;5;2;1;1;2;3;1;4;2;3
1;3;2;7;1;1;3;3;3;3;3;3;3;3;3;5;5;4;5;4;5;3;3;5;5;5;5;5;5;5;5;5;5;5;5;5
1;3;1;14;1;1;1;3;2;3;3;2;2;2;3;3;1;4;5;4;5;5;4;4;3;4;4;4;4;4;3;4;3;4;4;2
1;2;1;7;2;1;4;2;2;2;3;2;3;2;2;3;4;4;5;3;4;4;2;4;3;3;4;3;3;3;4;3;3;4;3;2
1;1;1;4;2;1;1;2;2;2;2;2;2;3;3;4;4;4;4;4;5;4;3;4;3;4;5;4;3;4;3;3;4;4;4;4
1;2;1;12;2;3;1;3;3;3;2;3;2;2;3;4;3;3;4;5;5;3;4;5;3;4;5;5;3;4;4;5;4;4;4;5
1;2;1;7;1;2;3;3;2;3;3;3;3;3;3;4;4;2;2;5;3;3;4;3;3;4;5;4;5;5;4;3;4;5;3;1
1;2;1;10;1;2;1;4;3;3;3;3;3;3;3;5;5;4;5;5;5;3;4;4;4;5;5;4;5;5;5;5;4;4;4;4
1;1;1;7;2;1;3;1;3;3;2;3;2;2;2;4;3;4;4;3;4;2;4;4;3;4;4;4;2;2;4;4;4;4;3;3
1;2;1;7;2;1;1;3;3;3;2;3;3;3;3;5;4;4;3;5;3;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3
2;4;2;7;1;2;3;3;2;3;3;3;2;2;2;4;4;4;5;5;3;4;5;4;4;4;5;4;5;4;4;5;5;4;4;4
1;1;1;14;2;1;3;2;3;3;2;3;2;3;3;4;4;7;4;4;4;3;4;5;5;5;4;3;4;3;5;3;3;4;3;4
1;1;1;12;2;1;3;3;3;2;2;2;3;3;2;4;3;5;4;4;3;5;5;5;3;3;2;3;3;3;3;3;3;3;3;3
1;5;1;7;1;3;3;1;2;2;2;2;2;2;2;4;4;3;4;4;5000;4;4;4;4;4;4;4;2;3;4;4;4;4;4;5
2;3;1;10;1;5;3;4;2;2;3;2;3;3;2;4;4;3;3;4;3;3;3;3;4;4;4;4;3;3;4;3;3;3;3;3
1;2;1;6;2;2;3;2;3;2;2;3;3;2;3;2;3;5;2;3;4;3;3;5;3;3;4;3;3;3;2;3;3;2;3;3
1;4;1;4;1;2;1;1;2;3;3;3;3;3;3;5;5;4;3;3;3;4;4;3;5;5;5;5;5;5;5;5;5;5;5;5
1;5;1;7;2;5;1;3;2;2;2;2;3;3;2;4;2;4;2;4;5;5;4;5;4;5;5;4;3;4;3;3;3;3;3;3
1;2;2;8;2;2;3;3;3;3;3;2;3;3;3;5;4;3;3;3;5;5;4;4;4;5;5;4;3;4;4;4;3;4;3;3
1;3;1;7;2;1;3;3;2;2;3;3;3;3;3;4;4;3;4;4;3;5;3;4;4;4;4;4;4;4;4;3;3;3;3;3
1;3;1;10;1;1;3;2;3;2;2;3;2;3;3;4;4;5;3;4;5;4;5;5;3;4;4;3;4;4;3;4;4;4;4;4
1;3;1;7;1;1;1;3;3;3;3;2;2;3;3;5;4;5;5;3;5;4;5;3;3;4;5;5;4;4;5;4;4;4;4;4
1;5;1;7;1;1;3;2;3;2;3;3;2;2;3;4;5;4;3;5;5;5;5;4;1;4;4;3;3;2;4;3;3;3;3;3
1;5;1;7;1;1;3;2;2;2;2;2;2;2;2;4;4;3;5;5;5;4;4;2;4;4;4;4;4;4;4;2;2;3;2;2
1;4;1;7;1;3;3;4;3;3;2;2;2;3;2;4;4;4;3;4;4;4;5;4;3;4;5;3;3;3;4;3;3;4;4;4
2;2;1;7;2;1;3;4;2;3;3;2;2;3;3;5;4;2;5;3;4;5;3;5;3;4;5;4;3;3;2;4;4;4;4;3
1;4;1;7;1;1;3;1;3;2;3;2;3;2;2;3;4;2;3;4;5;3;5;5;3;3;4;3;3;3;3;3;3;3;3;3
1;5;1;6;1;3;1;3;3;3;2;2;3;3;3;4;4;5;4;2;4;4;5;4;3;4;5;3;2;2;3;4;4;4;4;4
1;6;1;7;2;2;1;1;2;2;2;2;3;2;2;4;4;3;4;4;3;5;4;2;2;4;5;4;4;4;4;3;4;5;4;3
1;4;2;7;1;4;3;4;2;3;3;2;2;2;2;4;4;4;3;3;5;3;4;4;1;3;2;2;2;2;2;3;3;2;2;2
1;4;1;10;1;2;1;3;3;3;3;3;3;3;3;4;5;5;4;2;5;4;4;4;5;5;5;5;5;5;5;4;4;4;4;1
1;2;1;7;2;1;1;2;2;3;2;2;3;3;2;4;5;2;2;5;4;5;5;5;3;4;4;4;3;4;3;4;5;3;4;4
1;4;1;7;1;2;3;2;2;2;2;2;2;2;2;5;4;5;4;3;5;3;4;5;4;5;5;5;5;5;5;3;4;4;4;4
1;4;1;7;1;1;3;3;3;3;2;3;2;2;2;4;4;4;4;4;3;5;3;3;5;4;5;4;5;4;4;4;4;5;5;5
1;4;1;7;2;3;1;3;2;3;2;2;3;3;3;3;4;4;5;5;4;3;4;5;3;4;5;2;2;2;4;4;4;4;4;4
1;3;1;7;1;1;3;2;2;2;3;2;3;3;2;4;3;4;3;3;4;5;4;3;3;4;4;3;2;4;3;3;4;4;4;5
1;4;1;7;1;3;4;3;3;2;3;2;2;3;3;4;3;3;2;5;4;5;3;2;4;4;4;4;3;4;3;1;1;4;1;1
2;5;1;7;1;1;1;1;3;3;3;3;3;3;3;5;1;5;3;5;4;4;3;4;5;5;5;5;5;5;5;5;5;5;5;5
1;4;1;6;1;3;3;3;2;2;2;2;2;2;3;4;4;5;4;5;4;5;3;4;4;4;4;5;4;4;4;4;4;4;4;4
1;2;1;7;2;1;3;1;3;2;3;2;3;2;3;4;4;5;3;5;4;4;4;5;4;4;3;2;2;3;4;3;3;3;3;3
1;2;1;7;1;2;3;4;3;2;3;3;2;2;2;4;4;4;3;4;7;4;4;4;3;4;4;3;3;3;4;3;3;3;3;3
1;3;1;7;2;1;3;1;3;3;3;3;3;3;3;5;5;4;5;5;4;4;4;5;4;5;5;5;5;5;5;5;4;5;5;3
1;4;1;8;1;4;3;3;2;2;2;3;3;2;2;4;4;3;4;2;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4
1;2;1;7;2;1;3;1;2;2;2;2;2;2;2;4;4;3;3;5;4;3;3;5;4;4;4;4;4;4;4;4;4;4;4;4
1;4;1;7;2;2;1;3;2;3;3;2;3;2;3;3;3;5;3;4;3;3;5;3;2;3;4;2;2;3;1;3;1;3;1;1
1;2;1;7;2;4;1;1;2;2;2;1;3;2;2;3;3;3;4;4;3;5;4;3;4;4;5;3;2;3;3;4;4;4;4;4
1;3;1;7;1;3;3;3;2;3;2;2;2;2;2;4;3;4;2;3;4;3;3;3;4;4;4;4;4;4;4;5;5;4;4;4
1;4;1;7;1;4;3;2;3;3;3;3;3;2;2;4;4;4;4;4;3;4;5;3;4;4;4;3;3;3;3;3;3;3;3;3
1;2;1;10;2;2;1;2;3;3;3;2;2;3;3;5;4;3;3;4;4;3;5;4;5;5;5;5;5;5;3;5;5;4;4;4
1;2;1;7;2;1;1;4;2;3;2;2;2;2;2;4;3;5;5;5;5;4;4;4;3;4;4;4;3;4;4;3;3;3;3;3
1;1;1;12;2;4;3;3;2;3;2;3;2;2;2;4;3;4;5;4;3;3;5;3;2;3;3;5;3;3;3;3;2;3;3;3
1;4;1;6;1;1;3;1;1;2;3;3;2;3;3;3;2;5;5;4;4;5;4;3;1;4;4;3;3;2;3;4;1;3;2;5
1;2;1;10;2;1;3;4;3;2;2;2;2;3;3;3;3;4;3;4;3;5;4;4;4;4;5;4;2;3;3;4;3;3;4;3
1;3;1;8;2;6;4;3;3;3;3;3;2;2;3;5;4;4000;5;4;3;2;1;4;5;4;5;5;4;4;4;3;3;4;3;3
1;4;1;6;2;2;4;4;3;2;3;3;3;3;2;3;3;3;3;4;4;5;3;5;4;4;3;3;3;3;3;3;3;3;3;3
1;2;1;8;1;1;3;3;2;2;3;1;1;3;3;4;2;3;4;4;4;5;3;4;5;4;3;3;1;3;3;3;4;3;3;3
1;1;1;13;2;6;3;3;2;2;3;3;3;3;3;4;5;5;3;5;2;3;3;3;3;3;5;3;5;3;1;3;3;3;4;2
1;1;1;10;2;2;1;1;3;3;2;3;2;3;3;4;4;4;4;5;5;2;4;3;4;5;5;5;4;4;3;5;4;5;5;5
1;4;1;7;1;1;3;3;2;3;3;2;2;2;2;4;4;4;4;5;4;4;4;5;4;4;4;3;3;3;3;3;4;3;4;3
2;5;1;7;1;2;1;4;2;3;3;3;2;2;2;4;4;3;4;4;5;3;3;3;2;4;4;4;4;2;4;4;2;2;2;2
1;2;1;10;2;2;1;2;3;3;3;3;3;3;3;5;4;4;4;4;5;3;4;4;5;5;5;5;5;5;5;5;5;5;5;5
1;2;1;8;2;3;1;1;2;3;2;2;2;3;3;4;3;4;3;4;3;4;3;3;4;4;4;4;3;4;4;4;4;5;4;3
1;3;1;6;1;3;3;3;2;2;2;2;2;2;3;4;3;4;3;4;4;5;5;5;3;4;4;3;2;3;4;4;4;4;4;4
1;3;1;6;2;2;3;3;3;2;3;3;2;3;3;4;2;2;3;4;3;3;4;5;3;4;4;3;4;4;3;4;2;5;3;3
1;3;2;7;1;1;3;3;3;3;3;3;3;2;2;4;1;4;4;4;4;5;3;3;4;5;5;4;5;5;4;5;4;4;4;4
1;2;1;8;2;1;1;1;3;2;3;2;2;2;2;4;3;3;3;4;4;4;4;5;3;4;4;4;3;4;2;4;3;3;3;4
1;4;1;16;1;1;3;3;2;1;2;1;1;1;1;4;3;3;3;4;4;4;4;4;2;4;4;2;1;3;2;3;3;3;3;3
1;4;1;7;1;1;3;1;2;2;2;2;2;2;2;4;4;3;4;3;5;2;4;3;4;4;4;4;3;4;3;4;4;4;4;4
1;2;1;9;2;2;1;1;2;3;2;2;2;3;3;4;4;4;5;5;3;5;2;3;4;5;5;4;4;4;3;4;4;4;4;3
1;3;1;6;2;1;3;1;3;3;3;2;2;2;2;4;3;4;3;4;5;4;2;3;3;5;5;4;4;4;4;4;4;4;4;4
1;1;1;6;2;1;3;3;3;3;2;3;3;3;3;5;4;2;4;5;4;4;4;7;5;5;5;4;4;5;5;5;5;5;5;5
1;1;2;10;2;1;3;1;3;2;3;2;2;3;2;5;4;5;3;4;4;4;4;5;3;4;5;4;5;4;4;5;5;4;4;4
1;4;1;10;1;2;1;2;3;3;3;3;3;3;3;4;5;2;5;4;4;4;5;4;3;4;5;5;4;4;4;3;4;3;4;5
1;2;1;7;2;2;3;3;2;2;3;2;2;3;2;4;4;3;4;4;5;5;4;5;4;4;4;4;4;4;4;5;5;5;5;5
1;3;1;1;2;2;3;3;3;3;3;3;3;3;3;5;5;5;4;2;4;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5
1;4;1;14;2;2;3;4;2;2;3;2;2;2;2;4;5;4;4;5;2;5;4;4;4;4;5;4;3;4;3;3;3;4;3;4
1;7;1;7;1;1;3;2;2;3;3;2;2;2;3;5;4;4;3;5;3;5;5;4;4;5;5;5;5;5;5;3;5;5;5;5
3;3;1;7;2;2;3;3;2;3;3;3;2;2;2;4;3;5;5;4;3;4;5;3;3;4;4;3;2;4;3;3;3;3;3;3
1;2;1;10;1;1;3;3;3;3;3;3;3;3;3;5;4;4;5;3;4;4;3;5;4;5;5;5;5;5;4;5;5;5;5;5
1;3;1;7;1;3;3;3;2;2;3;2;2;2;2;3;3;5;3;4;3;4;4;5;3;4;4;4;2;3;3;3;3;3;3;3
1;2;1;7;2;4;3;3;2;3;2;2;2;2;3;4;4;5;4;3;3;3;5;5;4;4;4;3;3;4;4;4;4;4;3;3
1;2;1;7;2;2;3;3;2;2;2;3;2;3;2;4;4;5;4;5;3;4;4;4;1;3;4;2;2;3;3;3;4;4;4;2
1;5;1;10;1;1;3;3;3;3;2;2;2;2;3;4;4;2;4;3;5;4;3;3;3;4;5;5;2;3;2;4;4;2;4;3
1;4;1;6;2;2;4;2;2;2;3;2;2;3;2;4;4;5;4;4;3;4;3;5;3;4;4;3;4;3;3;3;3;3;3;3
1;1;2;7;1;1;3;3;1;1;1;3;1;1;1;5;4;3;4;3;4;3;4;2;5;5;5;5;5;5;5;5;5;5;5;5
1;4;1;7;1;2;3;3;2;3;2;2;3;3;3;4;4;4;5;5;5;5;3;5;5;4;5;4;5;5;4;3;3;3;3;3
1;5;1;6;1;2;1;3;2;2;3;2;2;2;2;4;3;3;4;4;4;3;4;4;3;4;4;4;3;3;2;3;3;4;3;2
1;3;1;7;2;2;3;3;2;3;3;3;3;2;2;4;3;4;4;4;4;5;5;4;4;5;5;4;4;4;3;4;4;4;4;4
1;4;1;8;1;1;3;3;2;2;3;2;3;2;2;3;4;4000;4;5;4;5;4;3;3;4;3;2;2;3;3;3;2;2;2;1
1;5;1;16;1;2;3;1;2;2;2;2;2;2;2;4;4;3;4;4;3;4;5;4;4;4;4;4;4;4;4;3;3;3;3;3
2;3;2;7;1;2;3;3;2;3;3;2;3;3;3;4;4;3;3;4;5;5;5;3;4;4;4;4;4;4;4;3;4;4;4;3
1;4;1;10;1;4;1;4;2;2;2;2;2;2;3;3;4;4;3;5;3;4;5;4;3;4;4;2;2;2;4;3;3;3;3;3
2;2;1;8;2;1;3;3;3;3;2;2;2;3;2;4;5;4;4;4;4;3;4;4;3;4;4;4;4;4;4;4;4;4;4;4
1;2;1;5;2;1;3;3;3;2;2;3;3;3;3;5;4;5;5;5;3;4;3;4;3;5;5;4;4;4;4;5;4;4;4;4
2;4;1;6;1;1;1;2;2;3;3;3;3;3;3;3;4;3;5;3;4;4;4;5;1;3;4;3;2;2;2;3;3;3;3;3
1;4;1;7;1;2;3;2;1;1;2;1;1;1;1;1;1;4;4;3;3;4;4;5;1;5;5;2;1;1;1;3;3;1;3;2
1;4;1;6;1;1;3;2;2;2;2;3;2;2;3;4;4;3;2;4;4;4;4;4;3;4;4;3;4;4;2;4;4;4;4;3
1;3;1;7;2;4;3;4;2;3;2;3;2;3;2;3;4;4;3;4;5;5;4;3;3;4;5;5;3;4;5;3;3;4;4;3
1;2;1;7;2;1;1;1;3;3;3;3;3;3;3;5;5;4;4;5;3;4;5;4;5;5;5;5;4;5;5;4;5;5;5;5
1;3;1;5;1;3;3;3;2;2;3;3;2;2;2;4;4;3;3;4;4;4;4;4;3;4;4;4;3;4;2;2;2;4;2;2
1;2;1;10;2;5;4;1;2;3;2;2;2;3;3;3;4;5;5;2;4;4;4;3;3;3;2;2;3;3;3;3;3;3;3;3
1;2;1;7;2;3;3;3;2;3;3;3;3;3;3;5;4;4;5;3;3;3;3;4;3;5;5;3;2;2;5;5;5;5;5;5
1;5;1;6;2;1;1;2;3;3;2;3;3;3;3;5;5;4;3;4;2;3;4;4;4;5;5;4;4;4;3;4;4;4;4;4
2;2;1;7;1;2;4;3;2;2;3;2;2;2;2;4;3;3;4;4;3;5;4;3;3;4;5;4;2;3;2;3;3;3;3;3
1;2;1;7;2;2;3;4;3;3;3;1;1;3;3;5;4;4;4;4;4;3;4;3;5;5;5;5;1;5;3;5;5;5;5;5
1;2;1;5;2;1;3;3;3;3;3;2;3;3;3;5;4;3;3;3;3;3;5;3;4;5;5;4;4;5;4;4;4;5;3;3
1;4;1;9;2;1;3;2;3;2;3;2;3;2;3;3;3;5;3;4;3;3;4;4;4;4;4;3;2;3;3;3;3;4;3;3
1;6;1;6;1;2;4;3;2;2;2;2;3;3;3;2;2;5;5;3;4;4;4;3;4;4;3;3;3;3;2;3;3;3;2;1
1;4;1;7;1;6;4;1;2;2;3;2;3;3;2;4;4;3;5;4;3;5;4;5;3;4;3;4;4;4;3;3;3;3;3;3
1;3;1;5;2;4;1;3;3;2;2;2;2;2;2;3;4;4;3;2;5;5;2;4;4;4;4;2;2;3;2;3;3;4;3;3
1;4;1;7;1;3;3;3;3;3;3;3;2;2;3;5;4;4;4;4;5;2;3;4;4;4;5;4;4;5;4;5;5;5;5;5
1;4;1;7;1;2;3;1;2;3;2;3;2;3;3;4;3;3;5;2;5;5;3;3;3;4;4;3;3;3;2;3;3;3;3;2
1;3;1;14;1;3;3;4;2;3;2;2;3;2;3;4;4;5;5;5;4;4;4;2;3;4;4;3;3;3;2;1;1;3;1;1
1;3;1;6;1;1;1;1;2;2;3;2;3;3;3;4;4;5;4;5;4;4;5;4;4;4;5;2;3;2;3;1;3;3;3;3
